PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S
5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S
16,1,2,"Hewlett, Mrs. (Mary D Kingcome)",female,55,0,0,248706,16,,S
17,0,3,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C
21,0,2,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,,S
23,1,3,"McGowan, Miss. Anna 'Annie'",female,15,0,0,330923,8.0292,,Q
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S
25,0,3,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
28,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S
29,1,3,"Odahl, Mr. Nils Martin",male,27,0,0,350407,7.775,,S
30,0,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.8792,,Q
31,0,1,"Todoroff, Mr. Lalio",male,,0,0,349214,7.8958,,S
32,1,1,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C
33,1,3,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
34,0,2,"Glynn, Miss. Mary Agatha",female,30,0,0,335677,10.5,,S
35,0,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S
36,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S
37,1,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S
38,0,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S
39,0,3,"Johnson, Mr. Carl Olof",male,34,0,0,347742,11.1333,,S
40,1,2,"Harper, Rev. John",male,28,0,1,248727,33,,S
41,0,3,"Jensen, Mr. Hans Peder",male,20,0,0,350050,7.8542,,S
42,0,3,"Sinkkonen, Miss. Jenni",female,30,0,0,315084,7.925,,S
43,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A/4. 39886,8.05,,S
44,1,2,"Andersson, Miss. Ebba Iris Alfrida",female,6,4,2,347082,31.275,,S
45,1,2,"Anderson, Mr. Harry",male,48,0,0,248706,26,,S
46,0,3,"Vartanian, Mr. David",male,22,0,0,2659,7.225,,C
47,0,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C
48,1,3,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q
49,0,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S
50,0,3,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q
